,ra,dec,z,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,mag_auto_z_dered,mag_auto_y_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i,magerr_auto_z,magerr_auto_y
921,333.525729,-0.012197,0.5278,22.655014038085938,21.069305419921875,20.34571075439453,19.977384567260742,19.906620025634766,0.06634614616632462,0.01962910033762455,0.015483398921787739,0.02151458151638508,0.059398092329502106
922,334.010587,-0.518623,0.5103,22.627212524414062,21.808256149291992,21.80436134338379,21.802549362182617,21.985830307006836,0.05510291829705238,0.03388480097055435,0.05276292935013771,0.10493568331003189,0.372704416513443
923,333.556654,-0.476595,0.5404,22.913667678833008,21.95808219909668,21.57353973388672,21.366718292236328,21.454788208007812,0.07020983099937439,0.038099586963653564,0.040196388959884644,0.05761580169200897,0.2019634246826172
924,335.464513,-0.341547,0.6192,22.791513442993164,22.13479232788086,21.722896575927734,21.80324935913086,22.292659759521484,0.061154235154390335,0.044436581432819366,0.04599769786000252,0.09582135826349258,0.5181130766868591
925,333.527411,-0.469662,0.6434,22.7725830078125,22.012235641479492,21.53533363342285,21.35557746887207,21.737245559692383,0.05912178009748459,0.03844176232814789,0.03768070787191391,0.055493563413619995,0.2708941400051117
926,334.614532,-0.495187,0.409,21.054475784301758,19.798351287841797,19.43444061279297,19.143144607543945,19.05335235595703,0.02476346120238304,0.009957666508853436,0.010710170492529869,0.015948086977005005,0.05343741923570633
927,335.044782,-0.445268,0.6081,22.449359893798828,21.49091911315918,20.970277786254883,20.81425666809082,20.70496940612793,0.053056854754686356,0.0282561294734478,0.02572149783372879,0.037986211478710175,0.1709263175725937
928,333.962153,-0.464025,0.4433,23.276113510131836,22.489633560180664,22.34649085998535,22.053743362426758,21.62142562866211,0.09801720827817917,0.05855681374669075,0.07623133063316345,0.10750618577003479,0.2924543023109436
929,333.545346,-0.460658,0.3058,22.253170013427734,21.452341079711914,21.247325897216797,20.992713928222656,21.04604721069336,0.05210926756262779,0.029415270313620567,0.037445470690727234,0.056202638894319534,0.21116042137145996
930,333.869891,-0.478426,0.6926,22.805774688720703,22.02077293395996,21.589353561401367,21.44736099243164,21.631208419799805,0.05022343248128891,0.031376518309116364,0.03195143863558769,0.05068761482834816,0.19115079939365387
931,334.620113,-0.493146,0.5926,24.472627639770508,22.6389217376709,22.160303115844727,21.919567108154297,22.05191993713379,0.20231296122074127,0.04820655658841133,0.046583276242017746,0.06924879550933838,0.3056093752384186
932,333.548332,-0.475075,0.7179,23.942792892456055,23.076614379882812,22.493268966674805,21.895843505859375,21.524974822998047,0.15292829275131226,0.0931043028831482,0.08225011825561523,0.08275230973958969,0.18671603500843048
933,334.107441,-0.514204,0.5529,22.9984188079834,22.12615394592285,21.92597770690918,21.55225944519043,21.652219772338867,0.06124686449766159,0.03471583500504494,0.04330717399716377,0.05774908512830734,0.22884470224380493
934,334.6169,-0.484494,0.6557,24.47749137878418,22.350582122802734,21.348892211914062,20.98950958251953,20.986156463623047,0.23044385015964508,0.04047022759914398,0.02413910999894142,0.03324994817376137,0.11635535210371017
935,334.516489,-0.120133,0.4111,22.876075744628906,22.071529388427734,22.043201446533203,21.797325134277344,22.259510040283203,0.052367113530635834,0.03486029803752899,0.050592102110385895,0.0716637372970581,0.427838534116745
936,335.185272,-0.45256,0.79,22.83687400817871,22.107757568359375,21.566486358642578,21.429080963134766,21.583864212036133,0.0672447606921196,0.04882153123617172,0.044157762080430984,0.0658210813999176,0.28190770745277405
937,335.119536,-0.480676,0.8693,22.727638244628906,22.019882202148438,21.310161590576172,20.851341247558594,20.6872615814209,0.03886938467621803,0.02677765116095543,0.021210819482803345,0.025064613670110703,0.08926115185022354
938,333.594711,-0.461849,0.8107,22.922496795654297,22.260671615600586,21.71722412109375,21.4785213470459,21.272876739501953,0.06537619233131409,0.042875759303569794,0.03837211802601814,0.056434400379657745,0.17554089426994324
939,334.099781,-0.505447,0.6304,23.83770751953125,22.48670768737793,21.418848037719727,21.04803466796875,20.99318504333496,0.1919494867324829,0.05458633601665497,0.03327750787138939,0.04770331457257271,0.17108026146888733
940,335.127184,-0.526871,0.7607,23.449256896972656,22.438264846801758,21.548765182495117,21.262073516845703,20.951080322265625,0.07477544993162155,0.03820493444800377,0.025640198960900307,0.037256352603435516,0.10620392858982086
941,335.117725,-0.474845,0.6009,20.56427764892578,19.269428253173828,18.770347595214844,18.503633499145508,18.48711585998535,0.0066512031480669975,0.0027157801669090986,0.0025325689930468798,0.0035533823538571596,0.013022303581237793
942,334.142709,-0.516259,0.256,21.877809524536133,21.59037971496582,21.363595962524414,21.471923828125,20.74332618713379,0.03648082911968231,0.03546241670846939,0.04331342503428459,0.09282028675079346,0.16664591431617737
943,333.529205,-0.43922,0.6628,23.533916473388672,23.045238494873047,22.59867286682129,22.629043579101562,22.161039352416992,0.08931917697191238,0.07420064508914948,0.07503513991832733,0.148127943277359,0.27656427025794983
944,334.646814,-0.497723,0.9008,22.77895164489746,22.159893035888672,21.799663543701172,21.69527244567871,20.61501121520996,0.1015007495880127,0.06965196877717972,0.07562163472175598,0.13528724014759064,0.17526599764823914
945,333.553811,-0.44653,0.2119,22.56220817565918,21.84836769104004,21.60369873046875,21.378673553466797,21.579517364501953,0.03937045857310295,0.02768971398472786,0.0332615002989769,0.0517287440598011,0.19368141889572144
946,333.648712,-0.436944,0.4098,22.9184513092041,21.100629806518555,20.531147003173828,20.13530731201172,20.164052963256836,0.06315720081329346,0.016234731301665306,0.013828846625983715,0.01804928667843342,0.0610460601747036
947,334.641138,-0.486963,0.6793,22.99700164794922,22.1733341217041,21.586597442626953,21.486614227294922,21.08123016357422,0.06852812319993973,0.04085698351264,0.03678308427333832,0.06406054645776749,0.14951111376285553
948,334.150566,-0.523629,0.5358,23.432531356811523,21.771759033203125,20.977537155151367,20.647241592407227,20.593929290771484,0.10043211281299591,0.02855568379163742,0.02087779901921749,0.029966214671730995,0.09235257655382156
949,333.547726,-0.411421,0.279,22.27716636657715,21.7264347076416,21.429704666137695,21.388381958007812,21.500226974487305,0.037224914878606796,0.0310469102114439,0.03576985001564026,0.06773395091295242,0.22129003703594208
950,335.037071,-0.354081,0.3323,23.25579071044922,22.520751953125,22.2446231842041,22.094635009765625,22.0111141204834,0.059717580676078796,0.040627095848321915,0.04694782942533493,0.07772961258888245,0.2831996977329254
951,333.611884,-0.426466,0.762,24.4084415435791,22.70332145690918,21.534685134887695,21.02140998840332,20.869422912597656,0.31054744124412537,0.08456777781248093,0.04369044676423073,0.05512573942542076,0.14113646745681763
952,333.59695,-0.417273,0.3653,22.171659469604492,21.54254913330078,21.42064094543457,21.289690017700195,21.791873931884766,0.05149248614907265,0.03518587350845337,0.04730621352791786,0.08243820816278458,0.3810656666755676
953,334.14738,-0.521128,0.5309,23.07976722717285,22.0979061126709,21.814584732055664,21.923786163330078,21.770597457885742,0.06330214440822601,0.03469381853938103,0.03943633288145065,0.08215559273958206,0.24611622095108032
954,333.900353,-0.511633,0.443,22.57948875427246,21.13331413269043,20.62236976623535,20.356544494628906,20.32025146484375,0.059609994292259216,0.019965611398220062,0.01878834329545498,0.027319934219121933,0.09527819603681564
